Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50,1000,2578,544,67,51134.04297,0.00131
2,1000,0.8,0.2,50,1000,2570,537,69,50858.73828,0.001357
3,1000,0.8,0.2,50,1000,2532,521,70,50109.46484,0.001397
4,1000,0.8,0.2,50,1000,2500,525,67,49469.41406,0.001354
5,1000,0.8,0.2,50,1000,2573,529,74,50818.25781,0.001456
6,1000,0.8,0.2,50,1000,2568,563,80,50785.43359,0.001575
7,1000,0.8,0.2,50,1000,2549,502,64,50485.50391,0.001268
8,1000,0.8,0.2,50,1000,2541,509,65,50352.76172,0.001291
9,1000,0.8,0.2,50,1000,2486,494,63,49239.96484,0.001279
10,1000,0.8,0.2,50,1000,2544,510,65,50438.90625,0.001289
,,,,,,,,,,0.0013576
