Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50,1000,4400,2583,996,51843.75781,0.019212
2,1000,0.4,0.2,50,1000,4453,2692,999,49797.46875,0.020061
3,1000,0.4,0.2,50,1000,4425,2620,998,49187.02344,0.02029
4,1000,0.4,0.2,50,1000,4287,2632,999,49976.875,0.019989
5,1000,0.4,0.2,50,1000,4106,2500,998,47944.40234,0.020816
6,1000,0.4,0.2,50,1000,4386,2680,999,50390.79688,0.019825
7,1000,0.4,0.2,50,1000,4433,2647,999,49574.58594,0.020151
8,1000,0.4,0.2,50,1000,4206,2556,999,49703.70703,0.020099
9,1000,0.4,0.2,50,1000,4363,2623,997,49337.60156,0.020208
10,1000,0.4,0.2,50,1000,4396,2663,996,49680.63672,0.020048
,,,,,,,,,,0.0200699
