Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50,1000,62515,8611,177,48791.13281,0.003628
2,1000,0.8,0.2,50,1000,62390,8617,142,48608.58594,0.002921
3,1000,0.8,0.2,50,1000,67540,8957,170,50178.47656,0.003388
4,1000,0.8,0.2,50,1000,64402,8737,176,49171.87891,0.003579
5,1000,0.8,0.2,50,1000,67384,8977,193,50989.90625,0.003785
6,1000,0.8,0.2,50,1000,64353,8731,183,49454.10547,0.0037
7,1000,0.8,0.2,50,1000,61972,8746,177,49940.84766,0.003544
8,1000,0.8,0.2,50,1000,63049,8857,188,50024.28516,0.003758
9,1000,0.8,0.2,50,1000,68272,8930,184,50350.55078,0.003654
10,1000,0.8,0.2,50,1000,65831,8759,189,49888.76953,0.003788
,,,,,,,,,,0.0035745
