Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50,1000,9039,5390,779,49682.28906,0.01568
2,1000,0.4,0.2,50,1000,9121,5445,756,49914.58984,0.015146
3,1000,0.4,0.2,50,1000,14227,7919,251,51238.71875,0.004899
4,1000,0.4,0.2,50,1000,9315,5556,811,51120.51953,0.015864
5,1000,0.4,0.2,50,1000,16356,8941,63,50552.6875,0.001246
6,1000,0.4,0.2,50,1000,8909,5364,837,51038.62109,0.016399
7,1000,0.4,0.2,50,1000,8751,5197,718,48166.26953,0.014907
8,1000,0.4,0.2,50,1000,8973,5392,804,49947.49219,0.016097
9,1000,0.4,0.2,50,1000,9219,5524,758,50314.38281,0.015065
10,1000,0.4,0.2,50,1000,8631,5153,819,50657.82422,0.016167
,,,,,,,,,,0.013147
