Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50,1000,11939,4773,559,50213.90234,0.011132
2,1000,0.6,0.2,50,1000,12040,4778,585,50307.03906,0.011629
3,1000,0.6,0.2,50,1000,12057,4787,490,50202.85156,0.00976
4,1000,0.6,0.2,50,1000,12537,5056,550,52550.8125,0.010466
5,1000,0.6,0.2,50,1000,11633,4620,550,49247.08594,0.011168
6,1000,0.6,0.2,50,1000,12270,4893,528,52011.33203,0.010152
7,1000,0.6,0.2,50,1000,11710,4698,521,49027.34766,0.010627
8,1000,0.6,0.2,50,1000,11364,4581,495,47581.26563,0.010403
9,1000,0.6,0.2,50,1000,11342,4437,540,48149.07031,0.011215
10,1000,0.6,0.2,50,1000,12305,4942,555,51258.35156,0.010828
,,,,,,,,,,0.010738
