Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50,1000,7703,1516,209,52394.13672,0.003989
2,1000,0.8,0.2,50,1000,7572,1532,191,50422.57813,0.003788
3,1000,0.8,0.2,50,1000,7495,1498,188,50798.54297,0.003701
4,1000,0.8,0.2,50,1000,6504,1341,187,49988.96094,0.003741
5,1000,0.8,0.2,50,1000,6740,1345,197,50377.48438,0.00391
6,1000,0.8,0.2,50,1000,7790,1592,208,50542.11719,0.004115
7,1000,0.8,0.2,50,1000,7024,1366,162,48888.40625,0.003314
8,1000,0.8,0.2,50,1000,7597,1501,199,50548.07031,0.003937
9,1000,0.8,0.2,50,1000,7956,1563,223,49893.87891,0.004469
10,1000,0.8,0.2,50,1000,6127,1218,143,50180.34375,0.00285
,,,,,,,,,,0.0037814
