Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50,1000,64462,8964,173,50685.33203,0.003413
2,1000,0.6,0.2,50,1000,57166,8229,167,46536.66406,0.003589
3,1000,0.6,0.2,50,1000,67199,9208,148,51205.27734,0.00289
4,1000,0.6,0.2,50,1000,63079,8920,159,49958.96094,0.003183
5,1000,0.6,0.2,50,1000,62211,8662,169,49040.49609,0.003446
6,1000,0.6,0.2,50,1000,62860,8659,179,49071.97656,0.003648
7,1000,0.6,0.2,50,1000,64170,8857,162,49994.77344,0.00324
8,1000,0.6,0.2,50,1000,67053,8950,160,50300.15234,0.003181
9,1000,0.6,0.2,50,1000,65573,8915,157,50147.97266,0.003131
10,1000,0.6,0.2,50,1000,65957,8816,146,49617.80078,0.002942
,,,,,,,,,,0.0032663
