Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50,1000,58059,8641,228,49668.58203,0.00459
2,1000,0.4,0.2,50,1000,66484,8774,176,49997.95313,0.00352
3,1000,0.4,0.2,50,1000,65068,8760,171,49008.42188,0.003489
4,1000,0.4,0.2,50,1000,52472,8557,220,49531.32422,0.004442
5,1000,0.4,0.2,50,1000,57924,8707,243,49745.71875,0.004885
6,1000,0.4,0.2,50,1000,63748,8854,253,52703.80078,0.0048
7,1000,0.4,0.2,50,1000,62719,8803,197,50496.26172,0.003901
8,1000,0.4,0.2,50,1000,63042,8822,197,50583.73047,0.003895
9,1000,0.4,0.2,50,1000,58483,8752,170,49299.91406,0.003448
10,1000,0.4,0.2,50,1000,59985,8528,163,49051.44141,0.003323
,,,,,,,,,,0.0040293
