Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50,1000,7535,3049,786,51017.61719,0.015406
2,1000,0.6,0.2,50,1000,7528,2974,760,49217.42188,0.015442
3,1000,0.6,0.2,50,1000,7688,3063,751,49806.58203,0.015078
4,1000,0.6,0.2,50,1000,7743,3125,822,49687.5,0.016543
5,1000,0.6,0.2,50,1000,7190,2891,736,49025.93359,0.015012
6,1000,0.6,0.2,50,1000,8175,3271,881,50927.01563,0.017299
7,1000,0.6,0.2,50,1000,7251,2876,706,50101.07031,0.014092
8,1000,0.6,0.2,50,1000,7621,3071,781,49684.70703,0.015719
9,1000,0.6,0.2,50,1000,7266,2878,764,47930.65234,0.01594
10,1000,0.6,0.2,50,1000,8007,3147,807,51398.11328,0.015701
,,,,,,,,,,0.0156232
