Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50,1000,2363,2128,998,49727.42969,0.020069
2,1000,0.1,0.2,50,1000,2453,2214,994,51028.94531,0.019479
3,1000,0.1,0.2,50,1000,2445,2192,999,51676,0.019332
4,1000,0.1,0.2,50,1000,2889,2600,999,49854.90625,0.020038
5,1000,0.1,0.2,50,1000,2381,2148,999,49140.27344,0.02033
6,1000,0.1,0.2,50,1000,2549,2307,999,49503.83594,0.02018
7,1000,0.1,0.2,50,1000,2726,2447,998,50609.65234,0.01972
8,1000,0.1,0.2,50,1000,2377,2135,999,50374.75,0.019831
9,1000,0.1,0.2,50,1000,2723,2431,999,50433.37891,0.019808
10,1000,0.1,0.2,50,1000,2279,2080,999,50061.67969,0.019955
,,,,,,,,,,0.0198742
