Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50,1000,2395,1906,996,48849.96875,0.020389
2,1000,0.2,0.2,50,1000,2444,1957,999,49330.25781,0.020251
3,1000,0.2,0.2,50,1000,2496,1979,999,48939.19531,0.020413
4,1000,0.2,0.2,50,1000,2472,1993,999,50176,0.01991
5,1000,0.2,0.2,50,1000,2392,1925,999,50167.74609,0.019913
6,1000,0.2,0.2,50,1000,2488,1978,999,51863.20703,0.019262
7,1000,0.2,0.2,50,1000,2543,2015,999,50146.62109,0.019922
8,1000,0.2,0.2,50,1000,2350,1897,999,51270.53125,0.019485
9,1000,0.2,0.2,50,1000,2566,2010,999,49621.4375,0.020132
10,1000,0.2,0.2,50,1000,2409,1909,997,50451.10547,0.019762
,,,,,,,,,,0.0199439
