Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50,1000,2810,1708,633,50840.28516,0.012451
2,1000,0.4,0.2,50,1000,2788,1692,648,49972.83594,0.012967
3,1000,0.4,0.2,50,1000,2828,1650,602,51244.21875,0.011748
4,1000,0.4,0.2,50,1000,2820,1712,692,50179.96875,0.01379
5,1000,0.4,0.2,50,1000,2722,1590,640,48743.95703,0.01313
6,1000,0.4,0.2,50,1000,2852,1755,663,51259.66406,0.012934
7,1000,0.4,0.2,50,1000,2697,1580,625,48488.57031,0.01289
8,1000,0.4,0.2,50,1000,2759,1659,673,49403.55078,0.013623
9,1000,0.4,0.2,50,1000,2781,1651,600,50188.87109,0.011955
10,1000,0.4,0.2,50,1000,2811,1693,641,50492.24609,0.012695
,,,,,,,,,,0.0128183
