Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50,1000,3237,2598,999,49970.70313,0.019992
2,1000,0.2,0.2,50,1000,4137,3294,999,51153.64453,0.019529
3,1000,0.2,0.2,50,1000,4278,3402,999,49032.33594,0.020374
4,1000,0.2,0.2,50,1000,3625,2951,998,50002.78516,0.019959
5,1000,0.2,0.2,50,1000,3028,2450,996,48945.79297,0.020349
6,1000,0.2,0.2,50,1000,3062,2473,999,50878.67578,0.019635
7,1000,0.2,0.2,50,1000,3387,2716,995,51122.27344,0.019463
8,1000,0.2,0.2,50,1000,3673,2956,999,50050.91016,0.01996
9,1000,0.2,0.2,50,1000,3017,2394,999,51082.91797,0.019556
10,1000,0.2,0.2,50,1000,3189,2565,997,49534.00391,0.020128
,,,,,,,,,,0.0198945
