Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50,1000,2657,1085,260,51010.25391,0.005097
2,1000,0.6,0.2,50,1000,2548,1060,273,48571.27734,0.005621
3,1000,0.6,0.2,50,1000,2608,1031,270,49797.41016,0.005422
4,1000,0.6,0.2,50,1000,2619,1042,286,49914.53125,0.00573
5,1000,0.6,0.2,50,1000,2682,1072,288,51030.95313,0.005644
6,1000,0.6,0.2,50,1000,2647,1085,295,50546.08984,0.005836
7,1000,0.6,0.2,50,1000,2621,1024,258,50227.59766,0.005137
8,1000,0.6,0.2,50,1000,2567,1016,264,49168.53906,0.005369
9,1000,0.6,0.2,50,1000,2554,971,255,48794.54688,0.005226
10,1000,0.6,0.2,50,1000,2639,1053,268,50493.57031,0.005308
,,,,,,,,,,0.005439
