Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50,1000,2316,2091,997,49667.17578,0.020074
2,1000,0.1,0.2,50,1000,2391,2165,997,50846.55078,0.019608
3,1000,0.1,0.2,50,1000,2457,2202,999,51597.56641,0.019361
4,1000,0.1,0.2,50,1000,11266,4579,792,49045.33984,0.016148
5,1000,0.1,0.2,50,1000,2382,2149,999,49191.74219,0.020308
6,1000,0.1,0.2,50,1000,2373,2160,999,49879.98438,0.020028
7,1000,0.1,0.2,50,1000,2752,2467,999,50647.37891,0.019725
8,1000,0.1,0.2,50,1000,2377,2135,999,50374.75,0.019831
9,1000,0.1,0.2,50,1000,2503,2235,999,49802.28516,0.020059
10,1000,0.1,0.2,50,1000,2279,2080,999,50061.67969,0.019955
,,,,,,,,,,0.0195097
